date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:39	65121/65121	---M--	200	added ('OK')	image/jpeg	etag:%229fc3a5ff583fa3fc%22	https://i2.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Morgan-scaled.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i2.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Morgan-scalede9e2.jpg	(from https://salonspaw.com/team/)
18:05:39	54675/54675	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:39%20GMT	https://salonspaw.com/team/morgan/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/morgan/index.html	(from https://salonspaw.com/team/)
18:05:40	54741/54741	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:40%20GMT	https://salonspaw.com/team/sarah/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/sarah/index.html	(from https://salonspaw.com/team/)
18:05:41	361328/361328	---M--	200	added ('OK')	image/jpeg	etag:%22c6882ec19f885e55%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/SarahFeltBW-1.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/SarahFeltBW-13866.jpg	(from https://salonspaw.com/team/)
18:05:41	54426/54426	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:41%20GMT	https://salonspaw.com/team/rian/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/rian/index.html	(from https://salonspaw.com/team/)
18:05:42	139547/139547	---M--	200	added ('OK')	image/jpeg	etag:%22fded4e013a723ed9%22	https://i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/rian-salon-spa-w.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/rian-salon-spa-w3866.jpg	(from https://salonspaw.com/team/)
18:05:43	54126/54126	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:43%20GMT	https://salonspaw.com/team/mia/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/mia/index.html	(from https://salonspaw.com/team/)
18:05:43	128861/128861	---M--	200	added ('OK')	image/jpeg	etag:%2204ceabf85a50eb5a%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Mia-Website.jpg?fit=729%2C1021&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Mia-Websitee0dc.jpg	(from https://salonspaw.com/team/)
18:05:44	54202/54202	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:44%20GMT	https://salonspaw.com/team/kamille/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/kamille/index.html	(from https://salonspaw.com/team/)
18:05:44	195656/195656	---M--	200	added ('OK')	image/jpeg	etag:%226c84cd55a1caffbc%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Kamille-webready-1.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Kamille-webready-13866.jpg	(from https://salonspaw.com/team/)
